CA: ['3', ' 204', ' 170', ' 5'] : 100 : Isomorphic CA: [3, 204, 85, 80]
CA: ['3', ' 204', ' 170', ' 20'] : 100 : Isomorphic CA: [3, 204, 102, 80]
CA: ['3', ' 204', ' 170', ' 65'] : 100 : Isomorphic CA: [3, 204, 153, 80]
CA: ['3', ' 204', ' 170', ' 80'] : 100 : Isomorphic CA: [3, 204, 170, 80]
CA: ['3', ' 204', ' 102', ' 5'] : 100 : Isomorphic CA: [3, 204, 85, 65]
CA: ['3', ' 204', ' 102', ' 17'] : 100 : Isomorphic CA: [3, 204, 153, 17]
CA: ['3', ' 204', ' 102', ' 68'] : 100 : Isomorphic CA: [3, 204, 102, 68]
CA: ['3', ' 204', ' 102', ' 80'] : 100 : Isomorphic CA: [3, 204, 170, 20]
CA: ['3', ' 204', ' 105', ' 17'] : 100 : Isomorphic CA: [3, 204, 150, 17]
CA: ['3', ' 204', ' 105', ' 68'] : 100 : Isomorphic CA: [3, 204, 105, 68]
CA: ['3', ' 204', ' 150', ' 17'] : 100 : Isomorphic CA: [3, 204, 105, 17]
CA: ['3', ' 204', ' 150', ' 68'] : 100 : Isomorphic CA: [3, 204, 150, 68]
CA: ['3', ' 204', ' 153', ' 5'] : 100 : Isomorphic CA: [3, 204, 85, 20]
CA: ['3', ' 204', ' 153', ' 17'] : 100 : Isomorphic CA: [3, 204, 102, 17]
CA: ['3', ' 204', ' 153', ' 68'] : 100 : Isomorphic CA: [3, 204, 153, 68]
CA: ['3', ' 204', ' 153', ' 80'] : 100 : Isomorphic CA: [3, 204, 170, 65]
CA: ['3', ' 204', ' 54', ' 17'] : 100 : Isomorphic CA: [3, 204, 57, 17]
CA: ['3', ' 204', ' 54', ' 68'] : 100 : Isomorphic CA: [3, 204, 54, 68]
CA: ['3', ' 204', ' 57', ' 17'] : 100 : Isomorphic CA: [3, 204, 54, 17]
CA: ['3', ' 204', ' 57', ' 68'] : 100 : Isomorphic CA: [3, 204, 57, 68]
CA: ['3', ' 204', ' 99', ' 17'] : 100 : Isomorphic CA: [3, 204, 147, 17]
CA: ['3', ' 204', ' 99', ' 68'] : 100 : Isomorphic CA: [3, 204, 99, 68]
CA: ['3', ' 204', ' 108', ' 17'] : 100 : Isomorphic CA: [3, 204, 156, 17]
CA: ['3', ' 204', ' 108', ' 68'] : 100 : Isomorphic CA: [3, 204, 108, 68]
CA: ['3', ' 204', ' 147', ' 17'] : 100 : Isomorphic CA: [3, 204, 99, 17]
CA: ['3', ' 204', ' 147', ' 68'] : 100 : Isomorphic CA: [3, 204, 147, 68]
CA: ['3', ' 204', ' 156', ' 17'] : 100 : Isomorphic CA: [3, 204, 108, 17]
CA: ['3', ' 204', ' 156', ' 68'] : 100 : Isomorphic CA: [3, 204, 156, 68]
CA: ['3', ' 204', ' 198', ' 17'] : 100 : Isomorphic CA: [3, 204, 201, 17]
CA: ['3', ' 204', ' 198', ' 68'] : 100 : Isomorphic CA: [3, 204, 198, 68]
CA: ['3', ' 204', ' 201', ' 17'] : 100 : Isomorphic CA: [3, 204, 198, 17]
CA: ['3', ' 204', ' 201', ' 68'] : 100 : Isomorphic CA: [3, 204, 201, 68]
CA: ['3', ' 60', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 195, 51, 17]
CA: ['3', ' 60', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 195, 51, 65]
CA: ['3', ' 60', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 195, 51, 20]
CA: ['3', ' 60', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 195, 51, 68]
CA: ['3', ' 60', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 195, 204, 17]
